,cx,cy,mz_ref,mx_beta,my_beta,K
cx,1.0,0.18770664419057714,-0.15719534121760662,-0.0931526316970479,0.03417058622227123,0.07471792701355029
cy,0.18770664419057714,1.0,-0.9272918932522121,-0.46634386253152893,-0.0040535594293583666,0.8423909422678276
mz_ref,-0.15719534121760662,-0.9272918932522121,1.0,0.5156349197708214,-0.00582044832017914,-0.7912931811831053
mx_beta,-0.0931526316970479,-0.46634386253152893,0.5156349197708214,1.0,0.029364766061042328,-0.4072948851010212
my_beta,0.03417058622227123,-0.0040535594293583666,-0.00582044832017914,0.029364766061042328,1.0,0.0012397989962124125
K,0.07471792701355029,0.8423909422678276,-0.7912931811831053,-0.4072948851010212,0.0012397989962124125,1.0
