branch,avl_generation,avl_row_index_0based,mlp_generation,mlp_row_index_0based,avl_qT,mlp_qT,recheck_qT,avl_mtow,mlp_mtow,recheck_mtow,avl_cy,mlp_cy,recheck_cy,avl_K,mlp_K,recheck_K,avl_p0,mlp_p0,recheck_p0,avl_S_ref,mlp_S_ref,recheck_S_ref,avl_mz,mlp_mz,recheck_mz,recheck_feasible,delta_qT_recheck_minus_mlp,delta_K_recheck_minus_mlp,delta_cy_recheck_minus_mlp,delta_qT_recheck_minus_avl,delta_K_recheck_minus_avl,delta_cy_recheck_minus_avl
normal_1_1,437,17,234,13,80.95587278013657,77.60398283324993,78.12769995319769,1335.77676266636,1349.226412236182,1350.796006409258,0.59825,0.5989521145820618,0.59697,28.64263937278312,30.24299621582031,30.07586404811462,49.492273,41.497412,41.497412,26.99082917448548,32.51348925084774,32.51348925084774,-0.001,-2.7755575615628907e-17,-0.00964,False,0.5237171199477615,-0.167132167705688,-0.0019821145820617,-2.828172826938882,1.433224675331502,-0.0012799999999999
normal_1_2,268,2,178,2,80.20607552148782,81.29162957448318,83.38628615587632,1349.871982861172,1361.710820438033,1366.869698664291,0.59754,0.5982477068901062,0.59779,29.26460656331152,29.13630485534668,28.50620446739579,48.499774,46.609985,46.609985,27.83254216813464,29.215002343382,29.215002343382,-0.00098,0.0,-0.00079,False,2.0946565813931386,-0.6301003879508897,-0.0004577068901061,3.180210634388501,-0.7584020959157307,0.00025
normal_1_3,281,4,206,24,79.671235306283,78.65742779933993,77.98429839595981,1339.41005227087,1355.173009480412,1352.1165891083674,0.59575,0.5996676683425903,0.60572,29.19490643166813,29.97641372680664,30.167358021375527,47.824138,41.256503,41.256503,28.007606033589145,32.84750081702271,32.84750081702271,0.00078,-5.551115123125783e-17,0.00279,False,-0.6731294033801163,0.1909442945688866,0.0060523316574097,-1.6869369103231833,0.9724515897073972,0.00997
normal_2_1,216,23,437,0,68.34783719363416,67.23053148229056,69.77401950033588,1191.92648147924,1186.060872282553,1192.7942989356286,0.57338,0.5999404191970825,0.58793,30.30580909639147,30.67593193054199,29.725086623425085,52.752102,54.908425,54.908425,22.59486232415914,21.60070830660322,21.60070830660322,0.00047,0.0,0.00025,True,2.5434880180453234,-0.9508453071169036,-0.0120104191970825,1.426182306701719,-0.5807224729663858,0.0145499999999999
normal_2_2,139,1,139,20,71.08304528074191,70.47499559426151,72.74159458613481,1215.70096756131,1187.796073665296,1194.881653927095,0.58543,0.5984853506088257,0.5949,29.72197148418509,29.28839111328125,28.53783572702949,52.952164,74.365077,74.365077,22.95272959949285,15.972498394642958,15.972498394642958,-0.00092,4.163336342344337e-17,-0.00081,False,2.2665989918732947,-0.7505553862517615,-0.0035853506088256,1.6585493053928957,-1.1841357571556017,0.0094699999999999
normal_2_3,295,8,191,0,69.30843161653146,68.50820138906076,69.38032059471168,1205.267300309224,1177.475464396972,1179.474600530619,0.58512,0.5991820096969604,0.60496,30.28121870134763,29.8826904296875,29.552230088390072,49.517005,59.887319,59.887319,24.3397493648899,19.66151777473959,19.66151777473959,-0.00097,-2.7755575615628907e-17,-0.00315,False,0.8721192056509182,-0.3304603412974281,0.0057779903030396,0.0718889781802119,-0.7289886129575578,0.01984
normal_3_1,437,11,182,28,70.36656510606586,66.77203793339699,68.98765170580803,1204.393728888058,1174.43393979451,1180.7344269799723,0.58928,0.5998167395591736,0.59672,29.71453114853568,30.59643936157227,29.769468733574215,53.858288,57.044808,57.044808,22.36263363959879,20.58791992077526,20.58791992077526,-0.00091,0.0,-0.0083,False,2.2156137724110465,-0.8269706279980511,-0.0030967395591735,-1.3789134002578294,0.0549375850385374,0.00744
normal_3_2,139,3,178,29,71.00095820796942,69.80137008635734,72.58974720546341,1207.409004822434,1188.846504967729,1196.8329516415122,0.58973,0.5986720323562622,0.59053,29.54717855329379,29.61155128479004,28.65697387036477,55.753754,71.251955,71.251955,21.656102385500358,16.685119489002094,16.685119489002094,-0.0009,0.0,-0.00127,False,2.788377119106073,-0.9545774144252696,-0.0081420323562622,1.5887889974939924,-0.8902046829290207,0.0008
normal_3_3,331,7,295,21,69.7255101328093,67.1167173393524,69.99722653767122,1206.296225396872,1174.770346091328,1182.084280414056,0.55974,0.5972440838813782,0.58736,30.03615418630646,30.44424247741699,29.36793363796118,54.077781,59.56719,59.56719,22.306682165823336,19.72176874551242,19.72176874551242,0.00097,1.387778780781446e-17,0.00122,False,2.880509198318819,-1.076308839455809,-0.0098840838813781,0.2717164048619196,-0.6682205483452819,0.0276199999999999
duck_1_x,437,5,437,14,86.08151064386811,85.15000104697826,81.38406408947658,1421.035774771035,1380.499696419565,1368.5868200303091,0.56414,0.598516047000885,0.59054,28.64441603020844,28.14194107055664,29.199514336366548,41.928619,45.442314,45.442314,33.89182240893744,30.3762190455354,30.3762190455354,-0.00095,2.7755575615628907e-17,-0.00291,False,-3.76593695750168,1.057573265809907,-0.007976047000885,-4.697446554391533,0.5550983061581078,0.0263999999999999
