run,branch,generation,best_idx,Lx,mtow_out,q_g_per_ton_km,K,cx,cy,mz,mx_beta,my_beta,center_mass,alpha_bal,delta_bal,A,L_mission_km,mz_omegaz,m0,p0,V,H,a_x_loc,a_S_rel,a_dihedral_mag,scheme_fuse,scheme_vertical,S_ref_from_m0_p0
qt_avl,normal_1_1,437,9,65.02444479854057,1156.165931638239,65.02444479854057,30.86769504286109,0.01938045581859393,0.59823,-0.00093,-2e-06,-0.000928,1.178671845932548,3.77170100055252,4.981158841348046,0.8188154777091234,3000.0,-20.26485591305299,1156.137845,65.026119,42.75398,500.0,4.018025,0.214295,36.286126,0.0,0.0,17.77959168991771
qt_avl,normal_1_2,437,17,61.33057075752655,1158.81293287865,61.33057075752655,32.9080587508966,0.01800865874483871,0.59263,-0.001,-2.4e-05,-0.0004440000000000001,0.4455655724837244,6.289341469410997,-4.430284651123559,0.8246827241397098,3000.0,-20.014406484853613,1158.812933,65.332693,43.02254,500.0,3.542404,0.2,0.0,0.0,0.5,17.73710648970187
qt_avl,normal_1_3,411,9,61.66293269013657,1146.914660414471,61.66293269013657,32.32623136134384,0.01849952731313804,0.59802,0.001,-0.000498,-0.000558,0.9770393954932868,4.753777103426484,2.970840300494212,0.8159818932430766,3000.0,-20.08150820303343,1146.918143,65.633717,42.960028,500.0,4.028532,0.202681,30.041496,0.0,1.0,17.474526743624775
qt_avl,normal_2_1,387,13,59.80150947537261,1153.135120820151,59.80150947537261,33.60288017776773,0.01726191317325744,0.58005,-0.00045,-0.0009439999999999999,-0.001564,0.3667245662458417,6.611515013054406,-2.324447566299686,0.8459032203052811,3000.0,-20.103265505493038,1153.135117,48.593999,37.430675,500.0,3.596507,0.200151,49.32467,0.5,0.0,23.729990137259545
qt_avl,normal_2_2,365,16,63.12504071271557,1183.159256555058,63.12504071271557,32.63371778955958,0.01833226615054557,0.59825,-0.00099,0.0,-0.000414,0.4335447498767416,6.102315375714101,-3.532893087816435,0.8758922827560783,3000.0,-20.01233577749465,1183.195755,50.126968,37.509687,500.0,3.725865,0.20003,0.0,0.5,0.5,23.603976107232338
qt_avl,normal_2_3,411,13,61.26744472664742,1189.024992177132,61.26744472664742,33.92969168873488,0.01759432433033873,0.59697,0.00063,-2e-06,-0.000576,1.377911745580981,8.357396668764222,-3.771330213173908,0.7498270385286522,3000.0,-20.136025817147335,1189.024993,45.670954,35.863862,500.0,4.207207,0.2,30.232682,0.5,1.0,26.034599430526455
qt_avl,normal_3_1,411,16,65.19576216200093,1100.717143468962,65.19576216200093,29.30878063258603,0.01979816244401708,0.58026,-0.00096,-3.6e-05,-0.001656,0.6508377469564726,4.182585653067586,4.795521443112472,0.8445624895484389,3000.0,-20.617735085832642,1100.717147,79.125332,47.876489,500.0,3.88753,0.200018,50.0,1.0,0.0,13.911058812366184
qt_avl,normal_3_2,250,26,65.60612865529683,1100.197152488447,65.60612865529683,29.16189164313787,0.02035841869468375,0.59369,-0.00095,-4.4e-05,-0.000258,0.4563435946669196,5.947717700879471,-3.581459174605835,0.9123813409426847,3000.0,-20.397469472043017,1101.144143,88.682655,50.087457,500.0,3.856376,0.200352,0.0,1.0,0.5,12.416679935890508
qt_avl,normal_3_3,399,6,64.93026670869368,1104.851693167899,64.93026670869368,29.54511352331299,0.01966247310377092,0.58093,0.00099,-0.000332,-0.000436,0.7858176453532251,4.383455847132121,3.312898668757141,0.8428756685257967,3000.0,-20.876057858488227,1104.850426,76.088123,46.943154,500.0,3.991934,0.200018,30.0,1.0,1.0,14.520668698845416
qt_avl,duck_1_x,437,11,64.05459350742356,1128.965550539464,64.05459350742356,30.59693279889257,0.01818744393948341,0.55648,-0.00098,-0.000324,-2e-06,2.107640786394534,3.758174965752703,0.6175662416845391,0.5190081878586125,3000.0,-26.566838682999055,1128.965551,70.744396,46.266826,500.0,2.204977,0.785441,1.875946,0.0,0.5,15.958374300064701
