branch,source,generation,idx,q_g_per_ton_km,mtow_out,cy,mz,K,A,a_S_rel,S_ref,V,H,alpha_bal,delta_bal
duck_1_x,Original AVL,437.0,17.0,90.23281298441246,1463.683745093538,0.56987,-0.001,28.13738197756269,0.8945139066335658,0.799968,,35.776978,500.0,3.408286561873372,2.726500478149549
duck_1_x,Duck-clean MLP,437.0,14.0,85.15000104697826,1380.499696419565,0.598516047000885,2.775557561562891e-17,28.14194107055664,0.5869329562788815,0.8,,35.980222,500.0,4.408751403874026,-1.793694377436554
duck_1_x,Duck-clean AVL,437.0,5.0,86.08151064386811,1421.035774771035,0.56414,-0.00095,28.64441603020844,0.5779695684244572,0.799912,,35.377162,500.0,3.795515657708151,0.1052892316513792
duck_2_x,Original AVL,437.0,7.0,65.53793908622026,1253.801894681279,0.59838,-0.001,33.25614860431515,0.5037415523975242,0.500032,,39.391815,500.0,4.706391259514943,3.476447295889718
duck_2_x,Duck-clean MLP,159.0,15.0,73.45201845280505,1192.827720192973,0.5992410778999329,2.775557561562891e-17,28.2133674621582,0.5880467412473891,0.8,,43.399441,500.0,5.349611712797712,-4.532442834422311
duck_2_x,Duck-clean AVL,437.0,3.0,72.56194861925164,1264.446975633826,0.52444,-0.00097,30.24344117426234,0.6063570337740177,0.8,,38.086792,500.0,3.453046577926461,-0.0007864654343895295
duck_3_x,Original AVL,437.0,17.0,67.05645429065284,1269.312481542024,0.57365,-0.00075,32.89192372103425,0.5117751268429631,0.500524,,39.911292,500.0,4.379019287012237,1.964901840989615
duck_3_x,Duck-clean MLP,164.0,8.0,73.42059656369909,1189.402241689926,0.5978694558143616,2.775557561562891e-17,28.14689826965332,0.6040162093581838,0.799866,,44.078138,500.0,5.45415808067431,-4.262839900459943
duck_3_x,Duck-clean AVL,437.0,12.0,71.24307300178985,1249.183409625309,0.53415,-0.001,30.43054063084584,0.5653647321816762,0.799838,,38.596597,500.0,3.301017750722931,2.087019324845128
