,cx,cy,mz_ref,mx_beta,my_beta,K
cx,1.0,0.2211963345793501,-0.20840381477632539,0.030950549939701363,0.016790765946138392,0.08815979795109698
cy,0.2211963345793501,1.0,-0.9116710472312042,0.07601180656960912,0.014396341247699873,0.8390996755287072
mz_ref,-0.20840381477632539,-0.9116710472312042,1.0,0.14011656587004623,-1.1522913536591621e-05,-0.7758367471550495
mx_beta,0.030950549939701363,0.07601180656960912,0.14011656587004623,1.0,0.2276083191421866,0.05538941674272113
my_beta,0.016790765946138392,0.014396341247699873,-1.1522913536591621e-05,0.2276083191421866,1.0,0.020131224782491172
K,0.08815979795109698,0.8390996755287072,-0.7758367471550495,0.05538941674272113,0.020131224782491172,1.0
